length,start,text
1.15,351.28,分明听到
1.05,352.43,分明听到 心跳声
2.42,353.48,分明听到 心跳声 澎湃的声音
0.99,356.81,会不会是
1.5,357.8,会不会是 程序里
2.44,359.3,会不会是 程序里 错误的提醒
0.95,363.16,慢慢接近
1.09,364.11,慢慢接近 感受着
1.88,365.2,慢慢接近 感受着 真实的呼吸
1.09,367.8,下一刻
1.97,368.89,下一刻 我苏醒
1.98,370.86,下一刻 我苏醒 用人类的名义
4.62,374.6,穿上了五彩华丽的美丽新衣
1.52,379.22,每个我
1.48,380.74,每个我 每个你
2.63,382.22,每个我 每个你 都唯一
4.35,386.41,今天是最盛大的成人礼
3.89,392.28,未来的世界从此打开新奇
1.62,396.17,未来的世界从此打开新奇 铺满惊喜
4.91,398.4,今天是属于我们的成人礼
2.85,403.31,朝着最美的明天
2.37,406.16,朝着最美的自己
2.27,408.53,勇敢定义
2.04,410.8,勇敢定义 Wo~
0.95,416.1,闭上眼睛
3.12,417.05,闭上眼睛 享受这星球的洗礼
1.11,420.17,下一刻
2.39,421.28,下一刻 我苏醒
2.42,423.67,下一刻 我苏醒 用人类的名义
1.28,426.86,聆听了
3.78,428.14,聆听了 传承远古的美丽言语
1.42,431.92,每个我
1.43,433.34,每个我 每个你
2.78,434.77,每个我 每个你 都唯一
4.7,438.91,今天是最盛大的成人礼
3.91,444.9,未来的世界从此打开新奇
1.71,448.81,未来的世界从此打开新奇 铺满惊喜
4.2,451.01,今天是属于我们的成人礼
2.68,455.97,朝着最美的明天
2.42,458.65,朝着最美的自己
2.33,461.07,勇敢定义
1.89,463.4,勇敢定义 Wo~
4.54,474.57,今天是最盛大的成人礼
3.96,480.42,未来的世界从此打开新奇
1.76,484.38,未来的世界从此打开新奇 铺满惊喜
4.9,486.52,今天是属于我们的成人礼
2.93,491.42,朝着最美的明天
2.24,494.35,朝着最美的自己
2.43,496.59,勇敢定义
2.1,499.02,勇敢定义 Wo~
